Author,author_id,author_country
Luisa Pérez de Zambrana,lpdezambrana,cuba
Lyndon J. Dominique,ljdominique,united_states
Lyne-Marie Stanley,lmstanley,french_guiana
Machel Montano,mmontano,trinidad_&_tobago
Magdalena López,mlopez,united_states
Mahadai Das,msdas,guyana
Maika Moulite,mmoulite,united_states
Maisy Card,mcard,jamaica
Manuel Zapata Olivella,mzolivella,colombia
Mara Etienne-Manley,memanley,dominica
Marcel Nérée,mnérée,france
Marcela Breton,mbreton,united_states
Marcia Douglas,mdouglas,jamaica
Margaret Busby,mbusby,ghana
Margarita Suero-Duran,msduran,united_states
Maria Nugent,mnugent,united_states
Maria Roberts-Squires,mrsquires,jamaica
Mariano Brull,mbrull,cuba
Mariano Rodríguez,mrodriguez,cuba
Marie Arnold,marnold,haiti
Marie Célie Agnant,mcagnant,haiti
Marie Evelyn,mevelyn,barbados
Marie Vieux-Chauvet,mvchauvet,haiti
Marie-Elena John,mejohn,antigua_&_barbuda
Marie-Joséphine Augustin,mjaugustin,united_states
Marie-Magdeleine Carbet,mmcarbet,martinique
Marika Preziuso,mpreziuso,italy
Marilyn Bobes León,mbleón,cuba
Marina Salandy-Brown,msbrown,trinidad_&_tobago
Marion Bethel,mbethel,the_bahamas
Marion Dowe,mdowe,dominica
Marion O'Callaghan,mocallaghan,trinidad_&_tobago
Mark McWatt,mmcwatt,guyana
Marlene Nourbese Philip,mnphilip,trinidad_&_tobago
Marlon James,mjames,jamaica
Martha Blanchard,mblanchard,st._lucia
Martin Amis,mamis,england
Mary Prince,mprince,bermuda
Maryse Condé,mconde,guadeloupe
Matthew James Chapman,mjchapman,barbados
Maude Heurtelou,mheurtelou,haiti
Maureen Warner-Lewis,mwlewis,trinidad_&_tobago
Max A Antoine,maantoine,haiti
May Farquharson,mfarquharson,jamaica
McDonald Dixon,mdixon,united_states
Meiling Jin,mjin,guyana
Mercedes Abad,mabad,spain
Merle Collins,mcollins,grenada
Merle Hodge,mhodge,trinidad_&_tobago
Mervyn Morris,mmorris,jamaica
Michael Anthony ,manthony,trinidad_&_tobago
Michael Aubertin,maubertin,st._lucia
Michael Cozier,mcozier,trinidad_&_tobago
Michael Smith,msmith,jamaica
Michael Thelwell,mthelwell,jamaica
Michel Maxwell Philip,mmphilip,trinidad_&_tobago
Michelle Cliff,mcliff,jamaica
Michelle Gargar,mgargar,australia
Michelle Paula Barton-Romeo,mpbartonromeo,trinidad_&_tobago
Miguel Ángel Asturias,maasturias,guatemala
Miguel Collazo,mcollazo,cuba
Miguel de Carrión,mdcarrión,cuba
Milagros Ricourt,mricourt,united_states
Milagros Rodríguez Cáceres,mrcáceres,spain
Mireille Rosello,mrosello,united_states
Monique Roffey,mroffey,trinidad_&_tobago
Mosi Mandisa,mmandisa,st._kitts_&_nevis
Mylene Pintado Fernandz,mpfernandez,cuba
Myriam J. A Chancy,mjachancy,haiti
Myriam Warner-Vieyra,mwvieyra,guadeloupe
N. C. Marks,ncmarks,st._vincent
N. D. Williams,ndwilliams,guyana
