Author,author_id,author_country
Fabio Murrieta Rodríguez,fmrodriguez,cuba
Seepersad Naipaul,snaipaul,trinidad_&_tobago
Shiva Naipaul,shnaipaul,trinidad_&_tobago
Roy Namba,rnamba,jamaica
Elma Napier,enapier,dominica
Robert Nazaire,rnazaire,canada
Marcel Nérée,mnérée,france
Grace Nichols,gnichols,guyana
Desmond V Nicholson,dvnicholson,antigua_&_barbuda
Cynthis Noel,cnoel,canada
Lino Novás Calvo,lncalvo,spain
Maria Nugent,mnugent,united_states
Elizabeth Nunez,enunez,trinidad_&_tobago
Juan Carlos Nunez,jcnunez,chile
Marion O'Callaghan,mocallaghan,trinidad_&_tobago
Carilda Oliver Labra,colabra,cuba
Fernando José Barcena Orbe,fjborbe,st._martin
Beverley Ormerod Noakes,bonoakes,jamaica
Julio Ortega,jortega,cuba
Raoul Pantin,rpantin,trinidad_&_tobago
Hubert Papailler,hpapailler,haiti
André Paradis,aparadis,france
Orlando Luis Pardo Lazo,olplazo,cuba
Timothée Paret,tparet,united_states
Roger Parsemain,rparsemain,martinique
Captain Anthony Parsons,caparsons,england
Orlando Patterson,opatterson,jamaica
Richard F. Patterson,rfpatterson,united_states
Baptiste Paul,bpaul,france
Howard Pease,hpease,united_states
Luisa Pérez de Zambrana,lpdezambrana,cuba
Cyrus Francis Perkins,cfperkins,jamaica
Ingrid Persaud,ipersaud,trinidad_&_tobago
Lakshmi Persaud,lpersaud,trinidad_&_tobago
Loknath Persaud,lopersaud,guyana
Sasenarine Persaud,spersaud,guyana
Marlene Nourbese Phillip,mnphillip,trinidad_&_tobago
Ben Philippe,bphilippe,haiti
Caryl Phillips,cphillips,st._kitts_&_nevis
René Philoctète,rphiloctète,haiti
Geoffrey Philp,gphilip,jamaica
Daniel Picouly,dpicouly,martinique
R. A. Pinder,rapinder,the_bahamas
Gisèle Pineau,gpineau,guadeloupe
Virgilio Piñera,vpinera,cuba
Juana Ponce de León,jpdeleon,puerto_rico
Néstor Ponce,nponce,argentina
Sarah Pooley,spooley,canada
Patricia Powell,ppowell,jamaica
Jose Prats Sariol,jpsariol,cuba
Peekash Press,ppress,united_states
Marika Preziuso,mpreziuso,italy
Althea Prince,aprince,antigua_&_barbuda
Mary Prince,mprince,bermuda
Rachel Afi Quinn,raquinn,united_states
Lowell J Ragatz,ljragatz,united_states
Shivanee Ramlochan,sramlochan,trinidad_&_tobago
Harold Ramoutar,hramoutar,chile
Paulette Ramsay,pramsay,jamaica
Collazo Ramos,cramos,puerto_rico
Angèle Rawiri,arawiri,gabon
Herbert J. Reifer,hjreifer,barbados
Bukka Rennie,brennie,trinidad_&_tobago
Alaí Reyes-Santos,arsantos,united_states
Trevor D Rhone,tdrhone,jamaica
Clément Richer,cricher,canada
Milagros Ricourt,mricourt,united_states
Jamsie,jamsie,ireland
Vanessa Riley,vriley,trinidad_&_tobago
Maria Roberts-Squires,mrsquires,jamaica
Nicole Roberts,nroberts,united_states
Ian E Robertson,ierobinson,england
Roger Robinson,rrobinson,united_states
Rafael Rodríguez Beltrán,rrbeltran,england
Milagros Rodríguez Cáceres,mrcáceres,spain
Delfín Rodríguez-Silva,drodríguezsilva,united_states
Mariano Rodríguez,mrodriguez,cuba
José Lezama Lima,jllima,cuba
Monique Roffey,mroffey,trinidad_&_tobago
Gordon Rohlehr,grohlehr,guyana
Jorge Ronet,jronet,brazil
Guillermo Rosales,grosales,cuba
Mireille Rosello,mrosello,united_states
Jacob Ross,jross,grenada
Judith Rossell,jrossell,australia
Robert L Ross,rlross,united_states
Namba Roy,nroy,jamaica
Edward W. Said,ewsaid,jerusalem
Anaïs Ségalas,aségalas,france
Simon Schama,sschama,england
Judy Stone,jstone,australia
David Augustus Straker,dastraker,barbados
Gilberto Mendonça Teles,gmteles,brazil
Sekou Toure,stoure,guinea
E. A Tudorovskaya,etudorovskaya,russia
Hayim Valdman,hvaldman,ukraine
Elina Valovirta,evalovirta,finland
Ramon Antonio Victoriano-Martinez,ravmartinez,dominican_republic
Ezequiel Vieta,evieta,cuba
Jean-Joseph Vilaire,jjvilaire,haiti
William T Vollmann,wtvollmann,united_states
Jamaica Kincaid,jkincaid,antigua_&_barbuda
Christian Werleigh,cwerleigh,haiti
Jean Rhys,jrhys,dominica
Persephone Braham,pbraham,united_states
Eddie Whyte,ewhyte,british_virgin_islands
Amy Wilentz,awilentz,united_states
David Williams,dwilliams,st._lucia
Paul Marlee,pmarlee,suriname
N. D. Williams,ndwilliams,guyana
Tyrone Williams,twilliams,united_states
Wallace Williams,wwilliams,virgin_islands
Patrick Sylvain,psylvain,haiti
Lauren Willig,lwillig,united_states
Cynthia Wilson,cwilson,barbados
Jake Hugh Reece Wilson,jhrwilson,england
Anthony C. Winkler,acwinkler,jamaica
Katia Wolek,kwolek,france
Frits Wols,fwols,suriname
Sylvia Wynter,swynter,jamaica
Tiphanie Yanique,tyanique,united_states
Hyam Yared,hyared,lebanon
Nicola Yoon,nyoon,jamaica
Colville N Young,cnyoung,belize
Manuel Zapata Olivella,mzolivella,colombia
Joseph Zobel,jzobel,martinique
Ibi Zoboi,izoboi,haiti
Marcia Douglas,mdouglas,jamaica
Zadie Smith,zsmith,england
Jacques Stephen Alexis,jsalexis,haiti
Tessa McWatt,tmcwatt,guyana
McDonald Dixon,mdixon,united_states
Joanne Skerrett,jskerrett,dominica
Alick Lazare,alazare,dominica
Yanick Lahens,ylahens,haiti
Pauline Melville,pmelville,guyana
Audre Lorde,alorde,grenada
James Baldwin,jbaldwin,united_states
Sara Collins,scollins,jamaica
Esi Edugyan,eedugyan,ghana
Yanitzia Canetti,ycanetti,cuba
Timothy Callender,tcallender,barbados
Nailah Folami Imoja,nfimoja,barbados
René Maran,rmaran,martinique
Pierre Marcelin,pmarcelin,france
Nicholas Laughlin,nlaughlin,trinidad_&_tobago
Machel Montano,mmontano,trinidad_&_tobago
Mahadai Das,msdas,guyana
Manuel Fernández,mfernandez,portugal
Luis Rafael Sánchez,lrsanchez,puerto_rico
Petreine Archer,parcher,england
Peter Kempadoo,pkempadoo,guyana
Peter Josie,pjosie,st._lucia
Peter Abrahams,pabrahams,jamaica
Reinaldo Arenas,rarenas,cuba
Paul Keens-Douglas,pkeensdouglas,trinidad_&_tobago
Aimé Césaire,acésaire,martinique
Mara Etienne-Manley,memanley,dominica
Marina Salandy-Brown,msbrown,trinidad_&_tobago
Marion Bethel,mbethel,the_bahamas
Marie-Joséphine Augustin,mjaugustin,united_states
Marie Evelyn,mevelyn,england
Marie Célie Agnant,mcagnant,haiti
Marie Arnold,marnold,haiti
Margarita Suero-Duran,msueroduran,united_states
Marcellus Taylor,mtaylor,united_states
Myriam Warner-Vieyra,mwvieyra,guadeloupe
Mylene Pintado Fernandz,mpfernandez,cuba
Mosi Mandisa,mmandisa,st._kitts_&_nevis
Miguel Ángel Asturias,maasturias,guatemala
Miguel Collazo,mcollazo,cuba
Michel Maxwell Philip,mmphilip,trinidad_&_tobago
Michael Thelwell,mthelwell,jamaica
Michael Smith,msmith,jamaica
Michael Cozier,mcozier,trinidad_&_tobago
Michael Aubertin,maubertin,st._lucia
Michael Anthony,manthony,trinidad_&_tobago
Mervyn Morris,mmorris,jamaica
Merle Collins,mcollins,grenada
Max A Antoine,maantoine,haiti
Maureen Warner-Lewis,mwlewis,trinidad_&_tobago
Martha Blanchard,mblanchard,st._lucia
Mercedes Abad,mabad,spain
Maude Heurtelou,mheurtelou,haiti
Leonardo Padura Fuentes,lpfuentes,cuba
