authorid,Author,Country,Lifespan,Wikimedia,dloc
lpfuentes,Leonardo Padura Fuentes,Cuba,1955,https://en.wikipedia.org/wiki/Leonardo_Padura_Fuentes,https://createcaribbean.org/vcl/lpfuentes_dloc/
lross,Leone Ross,England,1969,https://en.wikipedia.org/wiki/Leone_Ross,
lfmanigat,Leslie Francois Manigat,Haiti,1988-2014,https://en.wikipedia.org/wiki/Leslie_Manigat,https://createcaribbean.org/vcl/lfmanigat_dloc/
lhenry,Lewis Henry,United States,1950,,
ldaisley,Liesel Daisley,Barbados,Unknown,,https://createcaribbean.org/vcl/ldaisley_dloc/
lbarrett,Lindsay Barrett,Jamaica,1941,https://en.wikipedia.org/wiki/Lindsay_Barrett,https://createcaribbean.org/vcl/lbarrett_dloc/
lncalvo,Lino Novás Calvo,Spain,1903-1983,https://es.wikipedia.org/wiki/Lino_Nov%C3%A1s_Calvo,
laagostini,Lisa Allen-Agostini,Trinidad & Tobago,Unknown,https://en.wikipedia.org/wiki/Lisa_Allen-Agostini,https://www.dloc.com/AA00090268/00050/pdf
lemery,Llewellyn Emery,Spain,Unknown,,
lking,Lloyd King,United States,Unknown,,
lgoodison,Lorna Goodison,Jamaica,1947,https://en.wikipedia.org/wiki/Lorna_Goodison,https://createcaribbean.org/vcl/lgoodison_dloc/
lcarpinteros,Los Carpinteros,Cuba,Unknown,,
lpdalembert,Louis-Philippe Dalembert,Haiti,1980,https://en.wikipedia.org/wiki/Louis-Philippe_Dalembert,https://createcaribbean.org/vcl/lpdalembert_dloc/
lbennett,Louise Bennett,Jamaica,1919-2006,https://en.wikipedia.org/wiki/Louise_Bennett-Coverley,https://createcaribbean.org/vcl/lbennett_dloc/
lharpon,Louise Harpon,,Unknown,https://ht.wikipedia.org/wiki/Louise_Harpon,
lcazal,Louison Cazal,Martinique,Unknown,,
llcoll,Lucía López Coll,Cuba,Unknown,,
laguero,Luis Aguero,Cuba,1937,,https://www.dloc.com/AA00090768/00001/images
lrsanchez,Luis Rafael Sánchez,Puerto Rico,1936,https://en.wikipedia.org/wiki/Luis_Rafael_S%C3%A1nchez,
lpdezambrana,Luisa Pérez de Zambrana,Cuba,1837-1922,https://en.wikipedia.org/wiki/Luisa_P%C3%A9rez_de_Zambrana,https://www.dloc.com/AA00065141/00001/pdf
ljdominique,Lyndon J. Dominique,United States,1972,,
lmstanley,Lyne-Marie Stanley,French Guiana,1944,https://fr.wikipedia.org/wiki/Lyne-Marie_Stanley,
mmontano,Machel Montano,Trinidad & Tobago,1974,https://en.wikipedia.org/wiki/Machel_Montano,https://createcaribbean.org/vcl/mmontano_dloc/
mlopez,Magdalena López,United States,Unknown,,
msdas,Mahadai Das,Guyana,Unknown,,
mmoulite,Maika Moulite,United States,Unknown,,
mcard,Maisy Card,Jamaica,Unknown,,
mzolivella,Manuel Zapata Olivella,Colombia,1920-2004,https://en.wikipedia.org/wiki/Manuel_Zapata_Olivella,https://createcaribbean.org/vcl/mzolivella_dloc/
memanley,Mara Etienne-Manley,Dominica,Unknown,,
mnérée,Marcel Nérée,France,Unknown,,
mbreton,Marcela Breton,United States,Unknown,,https://www.dloc.com/AA00061374/00001/pdf
mdouglas,Marcia Douglas,Jamaica,1961,,
mbusby,Margaret Busby,Ghana,1944,https://en.wikipedia.org/wiki/Margaret_Busby,
msduran,Margarita Suero-Duran,United States,Unknown,,
mnugent,Maria Nugent,United States,1771-1834,https://en.wikipedia.org/wiki/Maria_Nugent,https://www.dloc.com/AA00052852/00001/images
mrsquires,Maria Roberts-Squires,Jamaica,Unknown,,
mbrull,Mariano Brull,Cuba,1891-1956,https://en.wikipedia.org/wiki/Mariano_Brull,https://createcaribbean.org/vcl/mbrull_dloc/
mrodriguez,Mariano Rodríguez,Cuba,1912-1990,https://es.wikipedia.org/wiki/Mariano_Rodr%C3%ADguez,
marnold,Marie Arnold,Haiti,Unknown,,
mcagnant,Marie Célie Agnant,Haiti,1953,https://en.wikipedia.org/wiki/Marie-C%C3%A9lie_Agnant,https://www.dloc.com/AA00079182/00001/downloads
mevelyn,Marie Evelyn,Barbados,Unknown,,
mvchauvet,Marie Vieux-Chauvet,Haiti,1916-1973,https://en.wikipedia.org/wiki/Marie_Vieux-Chauvet,https://createcaribbean.org/vcl/mvchauvet_dloc/
mejohn,Marie-Elena John,Antigua & Barbuda,1963,https://en.wikipedia.org/wiki/Marie-Elena_John,
mjaugustin,Marie-Joséphine Augustin,United States,1816-1850,,
mmcarbet,Marie-Magdeleine Carbet,Martinique,1902-1996,https://fr.wikipedia.org/wiki/Marie-Magdeleine_Carbet,
mpreziuso,Marika Preziuso,Italy,Unknown,,
mbleón,Marilyn Bobes León,Cuba,1955,https://en.wikipedia.org/wiki/Marilyn_Bobes,
msbrown,Marina Salandy-Brown,Trinidad & Tobago,Unknown,https://en.wikipedia.org/wiki/Marina_Salandy-Brown,
mbethel,Marion Bethel,The Bahamas,1953,https://en.wikipedia.org/wiki/Marion_Bethel,https://www.dloc.com/CA00299029/00001/images
mdowe,Marion Dowe,Dominica,Unknown,,
mocallaghan,Marion O'Callaghan,Trinidad & Tobago,1931-2016,https://en.wikipedia.org/wiki/Marion_Patrick_Jones,https://www.dloc.com/UF00072147/00186/images
mmcwatt,Mark McWatt,Guyana,1947,https://en.wikipedia.org/wiki/Mark_McWatt,https://createcaribbean.org/vcl/mmcwatt_dloc/
mnphilip,Marlene Nourbese Philip,Trinidad & Tobago,1947,https://en.wikipedia.org/wiki/M._NourbeSe_Philip,
mjames,Marlon James,Jamaica,1970,https://en.wikipedia.org/wiki/Marlon_James_(novelist),https://createcaribbean.org/vcl/mjames_dloc/
mblanchard,Martha Blanchard,St. Lucia,Unknown,,
mamis,Martin Amis,England,1949,https://en.wikipedia.org/wiki/Martin_Amis,
mprince,Mary Prince,Bermuda,1788-1833,https://en.wikipedia.org/wiki/Mary_Prince,https://www.dloc.com/AA00015607/00001/downloads
mconde,Maryse Condé,Guadeloupe,1937,https://en.wikipedia.org/wiki/Maryse_Cond%C3%A9,https://createcaribbean.org/vcl/mconde_dloc/
mjchapman,Matthew James Chapman,Barbados,1796,,https://www.dloc.com/AA00062339/00001/images
mheurtelou,Maude Heurtelou,Haiti,Unknown,,https://createcaribbean.org/vcl/mheurtelou_dloc/
mwlewis,Maureen Warner-Lewis,Trinidad & Tobago,1943,https://en.wikipedia.org/wiki/Maureen_Warner-Lewis,https://createcaribbean.org/vcl/mwlewis_dloc/
maantoine,Max A Antoine,Haiti,1980,,
mfarquharson,May Farquharson,Jamaica,1894-1992,https://en.wikipedia.org/wiki/May_Farquharson,
mdixon,McDonald Dixon,United States,Unknown,,
mjin,Meiling Jin,Guyana,1963,https://en.wikipedia.org/wiki/Meiling_Jin,https://createcaribbean.org/vcl/mjin_dloc/
mabad,Mercedes Abad,Spain,1961,https://es.wikipedia.org/wiki/Mercedes_Abad,
mcollins,Merle Collins,Grenada,1950,https://en.wikipedia.org/wiki/Merle_Collins,https://createcaribbean.org/vcl/mcollins_dloc/
mhodge,Merle Hodge,Trinidad & Tobago,1944,https://en.wikipedia.org/wiki/Merle_Hodge,https://createcaribbean.org/vcl/mhodge_dloc/
mmorris,Mervyn Morris,Jamaica,1937,https://en.wikipedia.org/wiki/Mervyn_Morris,https://createcaribbean.org/vcl/mmorris_dloc/
manthony,Michael Anthony,Trinidad & Tobago,1932-2023,https://en.wikipedia.org/wiki/Michael_Anthony_(author),
maubertin,Michael Aubertin,St. Lucia,1948,,
mcozier,Michael Cozier,Trinidad & Tobago,Unknown,,
msmith,Michael Smith,Jamaica,1954-1983,https://en.wikipedia.org/wiki/Mikey_Smith,
mthelwell,Michael Thelwell,Jamaica,1939,https://en.wikipedia.org/wiki/Ekwueme_Michael_Thelwell,https://createcaribbean.org/vcl/mthelwell_dloc/
mmphilip,Michel Maxwell Philip,Trinidad & Tobago,1829-1888,https://en.wikipedia.org/wiki/Michel_Maxwell_Philip,https://createcaribbean.org/vcl/mmphilip_dloc/
mcliff,Michelle Cliff,Jamaica,1946-2016,https://en.wikipedia.org/wiki/Michelle_Cliff,https://createcaribbean.org/vcl/mcliff_dloc/
mgargar,Michelle Gargar,Australia,Unknown,,
mpbartonromeo,Michelle Paula Barton-Romeo,Trinidad & Tobago,Unknown,,
maasturias,Miguel Ángel Asturias,Guatemala,1899-1974,https://en.wikipedia.org/wiki/Miguel_%C3%81ngel_Asturias,https://createcaribbean.org/vcl/maasturias_dloc/
mcollazo,Miguel Collazo,Cuba,1936-1999,https://es.wikipedia.org/wiki/Miguel_Collazo,
mdcarrión,Miguel de Carrión,Cuba,1875-1929,https://es.wikipedia.org/wiki/Miguel_de_Carri%C3%B3n,
mricourt,Milagros Ricourt,United States,1960,,
mrcáceres,Milagros Rodríguez Cáceres,Spain,1954,https://es.wikipedia.org/wiki/Milagros_Rodr%C3%ADguez_C%C3%A1ceres,
mrosello,Mireille Rosello,United States,1957,,https://createcaribbean.org/vcl/mrosello_dloc/
mroffey,Monique Roffey,Trinidad & Tobago,1965,https://en.wikipedia.org/wiki/Monique_Roffey,https://createcaribbean.org/vcl/mroffey_dloc/
mmandisa,Mosi Mandisa,St. Kitts & Nevis,Unknown,,
mpfernandez,Mylene Pintado Fernandz,Cuba,1963,https://es.wikipedia.org/wiki/Mylene_Fern%C3%A1ndez_Pintado,
mjachancy,Myriam J. A Chancy,Haiti,1970,https://en.wikipedia.org/wiki/Myriam_J._A._Chancy,
mwvieyra,Myriam Warner-Vieyra,Guadeloupe,1939-2017,https://en.wikipedia.org/wiki/Myriam_Warner-Vieyra,https://createcaribbean.org/vcl/mwvieyra_dloc/
ncmarks,N. C. Marks,St. Vincent & the Grenadines,Unknown,,
ndwilliams,N. D. Williams,Guyana,1942,https://en.wikipedia.org/wiki/N._D._Williams,https://www.dloc.com/AA00032523/00013/images/276
nfimoja,Nailah Folami Imoja,Barbados,Unknown,,https://createcaribbean.org/vcl/nfimoja_dloc/
ncoster,Naima Coster,United States,1986,https://en.wikipedia.org/wiki/Naima_Coster,
nhopkinson,Nalo Hopkinson,Jamaica,1960,https://en.wikipedia.org/wiki/Nalo_Hopkinson,https://createcaribbean.org/vcl/nhopkinson_dloc/
nroy,Namba Roy,Jamaica,1910 - 1961,https://en.wikipedia.org/wiki/Namba_Roy,https://createcaribbean.org/vcl/nroy_dloc/
nmorejón,Nancy Morejón,Cuba,Unknown,,
njackson,Naomi Jackson,United States,Unknown,https://en.wikipedia.org/wiki/Naomi_Jackson,https://www.dloc.com/AA00090268/00026/pdf
nshewcharan,Narmala Shewcharan,Guyana,Unknown,https://en.wikipedia.org/wiki/Narmala_Shewcharan,https://www.dloc.com/UF00080046/00033/images/290
nponce,Néstor Ponce,Argentina,1955,https://fr.wikipedia.org/wiki/Ponce_Néstor,
ndawes,Neville Dawes,Nigeria,1926 - 1984,https://en.wikipedia.org/wiki/Neville_Dawes,https://createcaribbean.org/vcl/ndawes_dloc/
ngiuseppi,Neville Giuseppi,Trinidad & Tobago,1909 - 1999,,https://createcaribbean.org/vcl/ngiuseppi_dloc/
nlaughlin,Nicholas Laughlin,Trinidad & Tobago,1975,https://en.wikipedia.org/wiki/Nicholas_Laughlin,
nyoon,Nicola Yoon,Jamaica,1972,https://en.wikipedia.org/wiki/Nicola_Yoon,
ngullien,Nicolás Guillén,Cuba,1902 - 1989,https://en.wikipedia.org/wiki/Nicolás_Guillén,https://createcaribbean.org/vcl/ngullien_dloc/
ndennisbenn,Nicole Deniss-Benn,Jamaica,1982,https://en.wikipedia.org/wiki/Nicole_Dennis-Benn,https://createcaribbean.org/vcl/ndennisbenn_dloc/
nroberts,Nicole Roberts,United States,Unknown,,
necameron,Norman Eustace Cameron,Guyana,1903 - 1983,https://en.wikipedia.org/wiki/N._E._Cameron,https://www.dloc.com/UF00088915/00279/images/29
ordathorne,O.R Dathorne,Guyana,1934 - 2007,https://en.wikipedia.org/wiki/Oscar_Dathorne,https://createcaribbean.org/vcl/ordathorne_dloc/
olewin,Olive Lewin,Jamaica,1927 - 2013,https://en.wikipedia.org/wiki/Olive_Lewin,https://www.dloc.com/CA00199854/00001/images
osenior,Olive Senior,Jamaica,1941,https://en.wikipedia.org/wiki/Olive_Senior,https://createcaribbean.org/vcl/osenior_dloc/
okempadoo,Oonya Kempadoo,England,1966,https://en.wikipedia.org/wiki/Oonya_Kempadoo,https://createcaribbean.org/vcl/okempadoo_dloc/
opalmeradisa,Opal Palmer Adisa,Jamaica,Unknown,,
olplazo,Orlando Luis Pardo Lazo,Cuba,1971,https://es.wikipedia.org/wiki/Julio_Ortega_(escritor),https://www.dloc.com/UF00090030/00091/images/125
opatterson,Orlando Patterson,Jamaica,1940,https://en.wikipedia.org/wiki/Orlando_Patterson,
oggoyco,Osvaldo García Goyco,Puerto Rico,Unknown,,https://createcaribbean.org/vcl/oggoyco_dloc/
pmordecai,Pamela Mordecai,Jamaica,1942,https://en.wikipedia.org/wiki/Pamela_Mordecai,https://createcaribbean.org/vcl/pmordecai_dloc/
ppowell,Patricia Powell,Jamaica,1966,https://en.wikipedia.org/wiki/Patricia_Powell,https://createcaribbean.org/vcl/ppowell_dloc/
pchamoiseau,Patrick Chamoiseau,Martinique,1953,https://en.wikipedia.org/wiki/Patrick_Chamoiseau,https://createcaribbean.org/vcl/pchamoiseau_dloc/
psylvain,Patrick Sylvain,Haiti,Unknown,https://ht.wikipedia.org/wiki/Patrick_Sylvain,https://createcaribbean.org/vcl/psylvain_dloc/
pkeensdouglas,Paul Keens-Douglas,Trinidad & Tobago,1942,,https://createcaribbean.org/vcl/pkeensdouglas_dloc/
pmarlee,Paul Marlee,Suriname,1938,https://nl.wikipedia.org/wiki/Paul_Marlee,
pmarshall,Paule Marshall,Barbados,1929 - 2019,https://en.wikipedia.org/wiki/Paule_Marshall,https://createcaribbean.org/vcl/pmarshall_dloc/
pramsay,Paulette Ramsay,Jamaica,Unknown,https://en.wikipedia.org/wiki/Paulette_Ramsay,https://www.dloc.com/AA00000079/00008/images/145
pmelville,Pauline Melville,Guyana,1948,https://en.wikipedia.org/wiki/Pauline_Melville,https://createcaribbean.org/vcl/pmelville_dloc/
ppress,Peekash Press,United States,1946,,
pabrahams,Peter Abrahams,Jamaica,1919 - 2017,https://en.wikipedia.org/wiki/Peter_Abrahams,https://createcaribbean.org/vcl/pabrahams_dloc/
pjosie,Peter Josie,St. Lucia,1941,https://en.wikipedia.org/wiki/Peter_Josie,
pkempadoo,Peter Kempadoo,Guyana,1926 - 2019,https://en.wikipedia.org/wiki/Peter_Kempadoo,https://www.dloc.com/UF00088915/00192/images/37
parcher,Petreine Archer,England,1956 - 2012,https://en.wikipedia.org/wiki/Petrine_Archer-Straw,
plindsay,Philip Lindsay,United States,1906 - 1958,https://de.wikipedia.org/wiki/Philip_Lindsay,
ptmarcelin,Philippe Thoby-Marcelin,Haiti,1904 - 1975,https://en.wikipedia.org/wiki/Philippe_Thoby-Marcelin,https://createcaribbean.org/vcl/ptmarcelin_dloc/
psallfrey,Phyllis Shand Allfrey,Dominica,1908 - 1986,https://en.wikipedia.org/wiki/Phyllis_Shand_Allfrey,https://createcaribbean.org/vcl/psallfrey_dloc/
pajeanty,Pierre Alex Jeanty,Haiti,Unknown,,
pmarcelin,Pierre Marcelin,France,Unknown,,
pvvastey,Pompée Valentin Vastey,Haiti,1781 - 1820,https://en.wikipedia.org/wiki/Pompée_Valentin_Vastey,https://www.dloc.com/AA00021541/00001/images/4
qmacoomeh,Queen Macoomeh,Trinidad & Tobago,Unknown,,
rapinder,R. A. Pinder,The Bahamas,Unknown,,https://www.dloc.com/AA00010703/00001/pdf
rlcaarons,R. L. C. Aarons,Jamaica,Unknown,,https://www.dloc.com/AA00004572/00001/images/48
rbcunninghamegraham,R.B Cunnighame-Graham,England,1852 - 1936,https://en.wikipedia.org/wiki/Cunninghame_Graham,https://www.dloc.com/AA00089365/00001/images/2
rmaharaj,Rabindranath Maharaj,Trinidad & Tobago,1955,https://en.wikipedia.org/wiki/Rabindranath_Maharaj,https://createcaribbean.org/vcl/rmaharaj_dloc/
rkirby,Rachel Kirby,England,Unknown,,
rmanley,Rachel Manley,England,1947,https://en.wikipedia.org/wiki/Rachel_Manley,
ravmartinez,Ramon Antonio Victoriano-Martinez,Dominican Republic,1969,,
rdepalma,Ramón De Palma,Cuba,1812 - 1860,https://es.wikipedia.org/wiki/Ramón_de_Palma,
rbaltidor,Raoul B. Altidor,Haiti,1965,https://ht.wikipedia.org/wiki/Raoul_Altidor,
rpantin,Raoul Pantin,Trinidad & Tobago,1943 - 2015,https://en.wikipedia.org/wiki/Raoul_Pantin,https://createcaribbean.org/vcl/rpantin_dloc/
rconfiant,Raphaël Confiant,Martinique,1951,https://fr.wikipedia.org/wiki/Raphaël_Confiant,
rarenas,Reinaldo Arenas,Cuba,1943 - 1990,https://en.wikipedia.org/wiki/Reinaldo_Arenas,https://www.dloc.com/UF00098948/00030/pdf
rbonneville,René Bonneville,Martinique,1871 - 1902,https://fr.wikipedia.org/wiki/René_Bonneville,
rdepestre,Rene Depestre,Haiti,1926,https://en.wikipedia.org/wiki/René_Depestre,https://createcaribbean.org/vcl/rdepestre_dloc/
rmaran,René Maran,Martinique,1887 - 1960,https://en.wikipedia.org/wiki/René_Maran,
rphiloctète,René Philoctète,Haiti,Unknown,,
rfpatterson,Richard F. Patterson,United States,1940,,
rkdouglas,Richardo Keens-Douglas,Grenada,1953,,
rantoni,Robert Antoni,United States,1958,https://en.wikipedia.org/wiki/Robert_Antoni,
rlross,Robert L Ross,United States,Unknown,,
rmcdonald,Robert McDonald,United States,Unknown,,
rnazaire,Robert Nazaire,Canada,Unknown,,
rfretamar,Roberto Fernández Retamar,Cuba,1930 - 2019,https://es.wikipedia.org/wiki/Roberto_Fernández_Retamar,https://createcaribbean.org/vcl/rfretamar_dloc/
rvalero,Roberto Valero,Cuba,1955 - 1994,https://en.wikipedia.org/wiki/Roberto_Valero,https://www.dloc.com/UF00103497/00049/images/17
rwalcott,Roderick Walcott,St. Lucia,1930 - 2000,https://en.wikipedia.org/wiki/Roderick_Walcott,https://createcaribbean.org/vcl/rwalcott_dloc/
rdorsinville,Roger Dorsinville,Haiti,1911 - 1992,,https://createcaribbean.org/vcl/rdorsinville_dloc/
rmais,Roger Mais,Jamaica,1905 - 1955,https://en.wikipedia.org/wiki/Roger_Mais,https://createcaribbean.org/vcl/rmais_dloc/
rparsemain,Roger Parsemain,Martinique,1944,,
rrobinson,Roger Robinson,United States,1933 - 2018,https://en.wikipedia.org/wiki/Roger_Robinson_(poet),
rmonar,Rooplall Monar,Guyana,1945,,https://createcaribbean.org/vcl/rmonar_dloc/
rsingh,Roopnandan Singh,Guyana,Unknown,,
rgay,Roxane Gay,Haiti,1974,https://en.wikipedia.org/wiki/Roxane_Gay,
rdalton,Roque Dalton,El Salvador,1935 - 1975,https://en.wikipedia.org/wiki/Roque_Dalton,
ragalt,Roy A Galt,Trinidad & Tobago,Unknown,,
rnamba,Roy Namba,Jamaica,1910 - 1961,https://en.wikipedia.org/wiki/Namba_Roy,https://www.dloc.com/AA00030574/00001/images
rmartínez,Rueben Martínez,United States,Unknown,,
scostanzo,Sabrina Costanzo,England,Unknown,,
sjperse,Saint-John Perse,Guadeloupe,1887 - 1975,https://en.wikipedia.org/wiki/Saint-John_Perse,https://www.dloc.com/AA00022089/05930/images/1
sselvon,Samuel Selvon,Trinidad & Tobago,1923 - 1994,https://en.wikipedia.org/wiki/Sam_Selvon,https://createcaribbean.org/vcl/sselvon_dloc/
scollins,Sara Collins,Jamaica,1972,https://en.wikipedia.org/wiki/Sara_Collins,https://www.dloc.com/AA00032523/00013/images/152
sdass,Sarah Dass,Trinidad & Tobago,Unknown,,
spooley,Sarah Pooley,Canada,Unknown,,
spersaud,Sasenarine Persaud,Guyana,1958,,https://createcaribbean.org/vcl/spersaud_dloc/
snaipaul,Seepersad Naipaul,Trinidad & Tobago,1906 - 1953,https://en.wikipedia.org/wiki/Seepersad_Naipaul,https://www.dloc.com/AA00030618/00001/images
ssarduy,Severo Sarduy,Cuba,1937 - 1993,https://en.wikipedia.org/wiki/Severo_Sarduy,
sbourne,Shakirah Bourne,Barbados,1942 - 2019,,https://createcaribbean.org/vcl/sbourne_dloc/
smootoo,Shani Mootoo,Ireland,1957,https://en.wikipedia.org/wiki/Shani_Mootoo,https://www.dloc.com/AA00000079/00009/images/99
sbesson,Sherwyn Besson,Trinidad & Tobago,Unknown,,
shnaipaul,Shiva Naipaul,Trinidad & Tobago,1945 - 1985,https://en.wikipedia.org/wiki/Shiva_Naipaul,
ssmaharajh,Shiva Shridath Maharajh,Trinidad & Tobago,Unknown,,
sramlochan,Shivanee Ramlochan,Trinidad & Tobago,1986,https://ca.wikipedia.org/wiki/Shivanee_Ramlochan,https://createcaribbean.org/vcl/sramlochan_dloc/
sschama,Simon Schama,England,1945,https://en.wikipedia.org/wiki/Simon_Schama,
ssbart,Simone Schwarz-Bart,France,1938,https://en.wikipedia.org/wiki/Simone_Schwarz-Bart,https://createcaribbean.org/vcl/ssbart_dloc/
srios,Soleida Rios,Cuba,1950,,
sadantes,Stephen A Dantes,St. Lucia,1982,https://en.wikipedia.org/wiki/Stephen_Dantes,https://www.dloc.com/UF00095627/00076/pdf
sbrown,Stewart Brown,England,1950,https://en.wikipedia.org/wiki/Stewart_Brown,https://createcaribbean.org/vcl/sbrown_dloc/
sdracius,Suzanne Dracius,Martinique,1951,https://en.wikipedia.org/wiki/Suzanne_Dracius,https://createcaribbean.org/vcl/sdracius_dloc/
sdurant,Suzanne Durant,Barbados,Unknown,,
swynter,Sylvia Wynter,Jamaica,1928,https://en.wikipedia.org/wiki/Sylvia_Wynter,https://createcaribbean.org/vcl/swynter_dloc/
tcharles,Tami Charles,United States,Unknown,,
tmcwatt,Tessa McWatt,Guyana,Unknown,,
tparet,Timothée Paret,United States,1887 - 1942,,
tcallender,Timothy Callender,Barbados,1946,,
tmarugg,Tip Marugg,Curaçao,1923 - 2006,https://en.wikipedia.org/wiki/Tip_Marugg,https://www.dloc.com/UF00099461/00041/images/268
tyanique,Tiphanie Yanique,United States,1978,https://en.wikipedia.org/wiki/Tiphanie_Yanique,https://createcaribbean.org/vcl/tyanique_dloc/
tdelsham,Tony Delsham,Martinique,1946,https://fr.wikipedia.org/wiki/Tony_Delsham,https://www.dloc.com/UF00088914/00171/images/8
tchadee,Trevor Chadee,Trinidad & Tobago,Unknown,,
tdrhone,Trevor D Rhone,Jamaica,1940 - 2009,https://en.wikipedia.org/wiki/Trevor_Rhone,
twilliams,Tyrone Williams,United States,Unknown,,
uvalverde,Umberto Valverde,Colombia,1947,https://es.wikipedia.org/wiki/Umberto_Valverde,
umarson,Una Marson,Jamaica,1905 - 1965,https://en.wikipedia.org/wiki/Una_Marson,https://createcaribbean.org/vcl/umarson_dloc/
ugiuseppi,Undine Giuseppi,Barbados,Unknown,,
vsnaipaul,V.S. Naipaul,Trinidad & Tobago,1932 - 2018,https://en.wikipedia.org/wiki/V._S._Naipaul,https://createcaribbean.org/vcl/vsnaipaul_dloc/
vcapildeo,Vahni Capildeo,Trinidad & Tobago,1973,https://en.wikipedia.org/wiki/Vahni_Capildeo,https://createcaribbean.org/vcl/vcapildeo_dloc/
vriley,Vanessa Riley,Trinidad & Tobago,Unknown,,
vspence,Vanessa Spence,Jamaica,1961,https://en.wikipedia.org/wiki/Vanessa_Spence,https://www.dloc.com/AA00032523/00009/images/226
vpollard,Velma Pollard,Jamaica,1937,https://en.wikipedia.org/wiki/Velma_Pollard,https://createcaribbean.org/vcl/vpollard_dloc/
vjclarke,Velta J Clarke,Jamaica,Unknown,,
vmaisier,Véronique Maisier,Canada,Unknown,,
vsreid,Victor Stafford Reid,Jamaica,1913 - 1987,https://en.wikipedia.org/wiki/Victor_Stafford_Reid,
vdiaz,Vigil Diaz,Dominican Republic,1880 - 1961,https://en.wikipedia.org/wiki/Otilio_Vigil_Díaz,
vpinera,Virgilio Piñera,Cuba,1912 - 1979,https://en.wikipedia.org/wiki/Virgilio_Piñera,https://createcaribbean.org/vcl/vpinera_dloc/
vlucien,Vladimir Lucien,St. Lucia,Unknown,,
walewis,W. Arthur Lewis,St. Lucia,1915 - 1991,https://en.wikipedia.org/wiki/W._Arthur_Lewis,
wwilliams,Wallace Williams,virgin_islands,1946,https://en.wikipedia.org/wiki/Wallace_Williams,
wgoodman,Walter Goodman,United States,Unknown,,
waroberts,Walter Adolphe Roberts,Jamaica,1886 - 1962,https://en.wikipedia.org/wiki/Walter_Adolphe_Roberts,https://createcaribbean.org/vcl/waroberts_dloc/
wgtrotman,Wayne Gerard Trotman,Trinidad & Tobago,1964,,
wloehfelm,William Loehfelm,United States,Unknown,,
wpbarron,William P Barron,England,Unknown,,https://www.dloc.com/AA00004645/00026/images/18
wtvollmann,William T Vollmann,United States,Unknown,,
wbennett,Wycliffe Bennett,Jamaica,1922 - 2009,,https://createcaribbean.org/vcl/wbennett_dloc/
ylahens,Yanick Lahens,Haiti,1953,https://en.wikipedia.org/wiki/Yanick_Lahens,https://createcaribbean.org/vcl/ylahens_dloc/
ycanetti,Yanitzia Canetti,Cuba,1967,https://en.wikipedia.org/wiki/Yanitzia_Canetti,
yIrizarry,Ylce Irizarry,Cuba,Unknown,,https://www.dloc.com/UF00096005/00046/images/164
ycharara,Youmna Charara,Italy,Unknown,,
zsmith,Zadie Smith,England,1975,https://en.wikipedia.org/wiki/Zadie_Smith,https://www.dloc.com/UF00096005/00010/images/144
zedgell,Zee Edgell,Belize,1940 - 2020,https://en.wikipedia.org/wiki/Zee_Edgell,https://createcaribbean.org/vcl/zedgell_dloc/
zelliott,Zetta Elliott,Canada,1972,https://en.wikipedia.org/wiki/Zetta_Elliott,
zcompagnie,Zoukouyanyan Compagnie,French Guiana,Unknown,,
