authorid,Author,Country,mapId,birthYear,deathYear,Lifespan,Wikimedia,dloc,lon,lat
eamittelholzer,Edgar Austin Mittelholzer,Guyana,62,1909,1965,1909-1965,https://en.wikipedia.org/wiki/Edgar_Mittelholzer,https://createcaribbean.org/vcl/eamittelholzer_dloc/,-58.97538658,4.79642268
etwilliams,Edison T Williams,Barbados,12,0,0,Unknown,,,-59.55642448,13.17222198
eclarke,Edith Clarke,Jamaica,4,1896,1979,1896-1979,https://en.wikipedia.org/wiki/Edith_Clarke_(anthropologist),https://createcaribbean.org/vcl/eclarke_dloc/,-77.31110641,18.15769529
elpaironne,Edmond Lapompe-Paironne,Martinique,8,0,0,Unknown,,,-61.01838056,14.65313333
emokwe,Edouard Mokwe,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
esaintamand,Edris Saint-Amand,Haiti,5,1918,2004,1918-2004,https://en.wikipedia.org/wiki/Edris_Saint-Amand,https://createcaribbean.org/vcl/esaintamand_dloc/,-72.3385625,18.40248133
edelllano,Eduardo Del Llano,Cuba,14,1962,0,1962-,https://es.wikipedia.org/wiki/Eduardo_del_Llano,,-79.5,22
ebaugh,Edward Baugh,Jamaica,4,1936,0,1936-,https://en.wikipedia.org/wiki/Edward_Baugh,https://createcaribbean.org/vcl/ebaugh_dloc/,-77.31110641,18.15769529
ekbrathwaite,Edward Kamau Brathwaite,Barbados,12,1930,2020,1930-2020,https://en.wikipedia.org/wiki/Kamau_Brathwaite,https://createcaribbean.org/vcl/kbrathwaite_dloc/,-59.55642448,13.17222198
edanticat,Edwidge Danticat,Haiti,5,1969,0,1969-,https://en.wikipedia.org/wiki/Edwidge_Danticat,https://createcaribbean.org/vcl/edanticat_dloc/,-72.3385625,18.40248133
epspringer,Eintou Pearl Springer,Trinidad & Tobago,3,1944,0,1944-,https://en.wikipedia.org/wiki/Eintou_Pearl_Springer,https://createcaribbean.org/vcl/epspringer_dloc/,-61.26048814,10.47267428
ediego,Eliseo Diego,Cuba,14,1920,1994,1920-1994,https://en.wikipedia.org/wiki/Eliseo_Diego,https://www.dloc.com/AA00048549/00045/images,-79.5,22
eacevedo,Elizabeth Acevedo,United States,1,1988,0,1988-,https://en.wikipedia.org/wiki/Elizabeth_Acevedo,,-99.41461919,39.39870316
enunez,Elizabeth Nunez,Trinidad & Tobago,3,1944,0,1944-,https://en.wikipedia.org/wiki/Elizabeth_Nunez,https://www.dloc.com/AA00000079/00006/images,-61.26048814,10.47267428
ewalcotthackshaw,Elizabeth Walcott-Hackshaw,Trinidad & Tobago,3,1964,0,1964-,https://en.wikipedia.org/wiki/Elizabeth_Walcott-Hackshaw,https://createcaribbean.org/vcl/ewalcotthackshaw_dloc/,-61.26048814,10.47267428
enapier,Elma Napier,Dominica,10,1892,1973,1892-1973,https://en.wikipedia.org/wiki/Elma_Napier,https://www.dloc.com/AA00011396/00001/pdf,-61.35007388,15.43465728
ellima,Eloísa Lezama Lima,Cuba,14,1966,0,1966-,https://en.wikipedia.org/wiki/Jos%C3%A9_Lezama_Lima,,-79.5,22
ebobadilla,Emilio Bobadilla,Cuba,14,0,0,Unknown,https://en.wikipedia.org/wiki/Emilio_Bobadilla,https://createcaribbean.org/vcl/ebobadilla_dloc/,-79.5,22
eacolin,Emily A Colin,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
eewilliams,Eric Eustace Williams,Trinidad & Tobago,3,1911,1981,1911-1981,https://en.wikipedia.org/wiki/Eric_Williams,,-61.26048814,10.47267428
ebodber,Erna Brodber,Jamaica,4,0,0,Unknown,,,-77.31110641,18.15769529
ejohn,Errol John,Trinidad & Tobago,3,1924,1988,1924-1988,https://en.wikipedia.org/wiki/Errol_John,https://www.dloc.com/AA00010879/00001/images,-61.26048814,10.47267428
eborde,Eulah Borde,Trinidad & Tobago,3,0,0,Unknown,,,-61.26048814,10.47267428
ejones,Evan Jones,Jamaica,4,1927,2012,1927-2012,https://en.wikipedia.org/wiki/Evan_Jones_(writer),,-77.31110641,18.15769529
etrouillot,Évelyne Trouillot,Haiti,5,1954,0,1954-,https://en.wikipedia.org/wiki/%C3%89velyne_Trouillot,https://createcaribbean.org/vcl/etrouillot_dloc/,-72.3385625,18.40248133
evieta,Ezequiel Vieta,Cuba,14,1922,1995,1922-1995,https://es.wikipedia.org/wiki/Ezequiel_Vieta,,-79.5,22
ffiallo,Fabio Fiallo,Dominican Republic,9,1866,1942,1866-1942,https://en.wikipedia.org/wiki/Fabio_Fiallo,https://createcaribbean.org/vcl/ffiallo_dloc/,-70.49003617,18.89668483
fmrodriguez,Fabio Murrieta Rodríguez,Cuba,14,0,0,Unknown,,,-79.5,22
fhibbert,Fernand Hibbert,Haiti,5,1873,1928,1873-1928,https://en.wikipedia.org/wiki/Fernand_Hibbert,https://createcaribbean.org/vcl/fhibbert_dloc/,-72.3385625,18.40248133
fjborbe,Fernando José Barcena Orbe,St. Martin,50,0,0,1922-2018,,,-63.06108125,18.07951726
fmomplaisir,Francesca Momplaisir,Haiti,5,0,0,Unknown,,,-72.3385625,18.40248133
flatour,Francie Latour,United States,1,0,0,Unknown,,,-99.41461919,39.39870316
fcarco,Francis Carco,New Caledonia,26,1886,1958,1886-1958,https://en.wikipedia.org/wiki/Francis_Carco,,165.7018418,-21.30779132
facollymore,Frank A. Collymore,Barbados,12,1893,1980,1893-1980,https://en.wikipedia.org/wiki/Frank_Collymore,https://createcaribbean.org/vcl/facollymore_dloc/,-59.55642448,13.17222198
