authorid,author_name,resource_title,resource_month,resource_day,resource_year,resource_language,resource_sample_url,resource_full_url,resource_type,resource_source,tags,comments
acwinkler,Anthony C. Winkler,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,2007,,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00035/00001.jpg,https://www.dloc.com/UF00096005/00035/images,image,dLOC,,
abenitezrojo,Antonio Benitez Rojo,Caribbean Quarterly,March,,2000,,https://www.dloc.com/UF00099208/00067/images,https://www.dloc.com/UF00099208/00067/images,image,dLOC,,"Access to this item is restricted to UF students, faculty, and staff"
abenitezrojo,Antonio Benitez Rojo,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,1984,,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00017/00001.jpg,https://www.dloc.com/UF00096005/00017/images,image,dLOC,,
abenitezrojo,Antonio Benitez Rojo,Caribe 2000,,,1997,,https://ufdcimages.uflib.ufl.edu/UF/00/10/21/26/00001/00001_00001.jpg,https://www.dloc.com/UF00102126/00001/images,image,dLOC,,
abenitezrojo,Antonio Benitez Rojo,"Afro-Cuban religious experience
cultural reflections in narrative",,,,,https://www.dloc.com/AA00061989/00001/pdf,https://www.dloc.com/AA00061989/00001/pdf,pdf,dLOC,,
alhendriks,Arthur Lemiere Hendriks,The Independence anthology of Jamaican literature,,,1962,,https://ufdcimages.uflib.ufl.edu/AA/00/00/45/72/00001/00001.jpg,https://www.dloc.com/AA00004572/00001/images,image,dLOC,,
alhendriks,Arthur Lemiere Hendriks,On this mountain : and other poems,,,1965,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/36/00001/PR6058-E5O5_dj.jpg,https://www.dloc.com/AA00030436/00001/images,image,dLOC,,
alhendriks,Arthur Lemiere Hendriks,The naked ghost : and other poems,,,1984,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/35/00001/PR6058-E5N351984_dj.jpg,https://www.dloc.com/AA00030435/00001/images,image,dLOC,,
alhendriks,Arthur Lemiere Hendriks,The islanders and other poems,,,1983,,https://ufdcimages.uflib.ufl.edu/AA/00/03/04/32/00001/PR6058-E5I851983_dj.jpg,https://www.dloc.com/AA00030432/00001/images,image,dLOC,,
alorde,Audre Lorde,Mapping LGBT Caribbean Literature,,,2014,,https://www.dloc.com/AA00035150/00001/pdf,https://www.dloc.com/AA00035150/00001/pdf,pdf,dLOC,,
alorde,Audre Lorde,"Sargasso, A Journal of Caribbean Literature, Language, and Culture",,,2014,,https://ufdcimages.uflib.ufl.edu/UF/00/09/60/05/00046/00001.jpg,https://www.dloc.com/UF00096005/00046/images,image,dLOC,,
alorde,Audre Lorde,"CONSUMING IDENTITIES: CROSSCURRENTS OF TOURISM, DIASPORA, AND
MOBILITY IN CARIBBEAN LITERATURE AND CULTURE",,,2008,,https://www.dloc.com/UFE0022501/00001/pdf,https://www.dloc.com/UFE0022501/00001/pdf,pdf,dLOC,,
alorde,Audre Lorde,MaComère,,,2001,,https://ufdcimages.uflib.ufl.edu/AA/00/00/00/79/00005/00005_00000.jpg,https://www.dloc.com/AA00000079/00005/images,image,dLOC,,
alorde,Audre Lorde,"In Another Place, Not Here: A Reappropriation of Caribbean Nationalism",,,2003,,https://ufdcimages.uflib.ufl.edu/UF/E0/00/07/64/00001/parks_t_Page_01.jpg,https://www.dloc.com/UFE0000764/00001/images,image,dLOC,,
alorde,Audre Lorde,Our Caribbean: a gathering of lesbian and gay writing from the Antilles,,,2009,,https://ufdcimages.uflib.ufl.edu/AA/00/00/00/14/00001/LambadaBookReportSpring2009_Page_1.jpg,https://www.dloc.com/AA00000014/00001/images,image,dLOC,,
alorde,Audre Lorde,GFM Archive : Brochure for glad day book shop,,,1979,,https://ufdcimages.uflib.ufl.edu/AA/00/00/14/71/00001/Binder8_Page_1.jpg,https://www.dloc.com/AA00001471/00001/images,image,dLOC,,
alorde,Audre Lorde,Revue,March,,2017,,https://www.dloc.com/UF00094132/00117/pdf,https://www.dloc.com/UF00094132/00117/pdf,pdf,dLOC,,
alorde,Audre Lorde,Caribbean review of books,Feburary,,1992,,https://ufdcimages.uflib.ufl.edu/UF/00/09/40/97/00003/00001.jpg,https://www.dloc.com/UF00094097/00003/images,image,dLOC,,
alorde,Audre Lorde,The Caribbean writer,,,1997,,https://ufdcimages.uflib.ufl.edu/AA/00/03/25/23/00007/AA00032523_00007_00001.jpg,https://www.dloc.com/AA00032523/00007/images,image,dLOC,,
alorde,Audre Lorde,The Tribune,May,13,2008,,https://ufdcimages.uflib.ufl.edu/UF/00/08/42/49/01024/UF00084249_VID01024_00001.jpg,https://www.dloc.com/UF00084249/01024/images,image,dLOC,,
alorde,Audre Lorde,Caribbean Review,,,1983,,https://ufdcimages.uflib.ufl.edu/UF/00/09/55/76/00001/00001.jpg,https://www.dloc.com/UF00095576/00001/images,image,dLOC,,
alorde,Audre Lorde,Nieuwe West-Indische gids,,,1960,,https://www.dloc.com/UF00099461/00114/pdf,https://www.dloc.com/UF00099461/00114/pdf,pdf,dLOC,,
alorde,Audre Lorde,The Caribbean writer,,,1992,,https://ufdcimages.uflib.ufl.edu/AA/00/03/25/23/00006/AA00032523_00006_00001.jpg,https://www.dloc.com/AA00032523/00006/images,image,dLOC,,
